Observer First Name,Observer Last Name,Title,Affiliation,E-mail Address,Survey Type,Species Common Name,Species Confidence,Site Name,Territory,NestID,Date,SurvStart_Time,SurvEnd_Time,Observation Type,Nest Status,Territory Status,No adults or field sign observed after repeated visits,Decorated nest was present,One or more adults exhibited nest affinity,"One or more adults engaged in courtship, territorial, or reproductive vehavior (e.g. undulating flight, copulation)",An adult observed in incubating posture on a nest,Eggs observed in a nest,Young observed in a nest,Recently fledged young observed in vicinity of a nest,Other? PLEASE DEFINE,Sex - if adult(s) present,Northing (Latitude),Easting (Longitude),Coordinate System,Location Confidence,LocComment,Site Directions,Land Manager,NestSub,SubHgt,SubAsp,NestAsp,NestHgt,NestCond,EcolSysNes,EcolSysAdj,Photos,Comments,RecordID
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,4/4/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.926680,-116.391332,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,50,45,45,1,Fair,,,,,11
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,4/4/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.9272340000,-116.3910980000,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,50,200,200,0.5,Fair,,,,,12
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,5/20/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.800057,-116.471775,Decimal Degrees GCS WGS 1984,Accurate,Just south of Savage Crossing,,BLM,Cliff,20,280,280,1,Excellent,,,,,13
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Golden Eagle,Uncertain,Castle Creek,,,5/21/2013,,,Nest,Unoccupied,Unoccupied,,,,,,,,,,,42.795199,-116.504983,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,14,160,160,0.5,Good,,,,Adult GOEAs observed in the vicinity of this nest,14
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Golden Eagle,Uncertain,Castle Creek,,,5/21/2013,,,Nest,Unoccupied,Unoccupied,,,,,,,,,,,42.795222,-116.504002,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,14,160,160,0.5,Good,,,,Adult GOEAs observed in the vicinity of this nest,15
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Golden Eagle,Certain,Reynolds Canyon,,,6/3/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,43.312927,-116.695286,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,,,,,Excellent,,,,These nests are already in the NCA dataset,16
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Golden Eagle,Certain,Reynolds Canyon,,,6/3/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,43.313097,-116.695580,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,,,,,Good,,,,These nests are already in the NCA dataset,17
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Golden Eagle,Certain,Reynolds Canyon,,,6/3/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,43.313700,-116.695580,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,,,,,Good,,,,These nests are already in the NCA dataset,18
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Golden Eagle,Certain,Reynolds Canyon,,,6/3/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,43.314018,-116.695472,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,,,,,Good,,,,These nests are already in the NCA dataset,19
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,6/6/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.935567,-116.382071,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,50,,,,Fair,,,,,20
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,6/6/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.935655,-116.381954,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,50,,,,Fair,,,,,21
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,6/6/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.936096,-116.381118,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,50,,,,Fair,,,,,22
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,6/6/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.937620,-116.380049,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,50,,,,Fair,,,,,23
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Squaw Creek,,,6/20/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,43.4017500000,-116.8514620000,Decimal Degrees GCS WGS 1984,Moderate Precision,,,BLM,Cliff,25,,,,Poor,,,,,24
